world_cup_year,match_id,stage,match_date,home_team,away_team,stadium,city,host_country,final_flag,extra_time_flag,penalty_flag
2010,2010_01,Group A,2010-06-11,South Africa,Mexico,Soccer City,Johannesburg,South Africa,0,0,0
2010,2010_02,Group A,2010-06-11,Uruguay,France,Cape Town Stadium,Cape Town,South Africa,0,0,0
2010,2010_03,Group B,2010-06-12,South Korea,Greece,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,0,0,0
2010,2010_04,Group B,2010-06-12,Argentina,Nigeria,Ellis Park Stadium,Johannesburg,South Africa,0,0,0
2010,2010_05,Group C,2010-06-12,England,United States,Royal Bafokeng Stadium,Rustenburg,South Africa,0,0,0
2010,2010_06,Group C,2010-06-13,Algeria,Slovenia,Peter Mokaba Stadium,Polokwane,South Africa,0,0,0
2010,2010_07,Group D,2010-06-13,Serbia,Ghana,Loftus Versfeld Stadium,Pretoria,South Africa,0,0,0
2010,2010_08,Group D,2010-06-13,Germany,Australia,Moses Mabhida Stadium,Durban,South Africa,0,0,0
2010,2010_09,Group E,2010-06-14,Netherlands,Denmark,Soccer City,Johannesburg,South Africa,0,0,0
2010,2010_10,Group E,2010-06-14,Japan,Cameroon,Free State Stadium,Bloemfontein,South Africa,0,0,0
2010,2010_11,Group F,2010-06-14,Italy,Paraguay,Cape Town Stadium,Cape Town,South Africa,0,0,0
2010,2010_12,Group F,2010-06-15,New Zealand,Slovakia,Royal Bafokeng Stadium,Rustenburg,South Africa,0,0,0
2010,2010_13,Group G,2010-06-15,Ivory Coast,Portugal,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,0,0,0
2010,2010_14,Group G,2010-06-15,Brazil,North Korea,Ellis Park Stadium,Johannesburg,South Africa,0,0,0
2010,2010_15,Group H,2010-06-16,Honduras,Chile,Mbombela Stadium,Nelspruit,South Africa,0,0,0
2010,2010_16,Group H,2010-06-16,Spain,Switzerland,Moses Mabhida Stadium,Durban,South Africa,0,0,0
2010,2010_17,Group A,2010-06-16,South Africa,Uruguay,Loftus Versfeld Stadium,Pretoria,South Africa,0,0,0
2010,2010_18,Group B,2010-06-17,Argentina,South Korea,Soccer City,Johannesburg,South Africa,0,0,0
2010,2010_19,Group B,2010-06-17,Greece,Nigeria,Free State Stadium,Bloemfontein,South Africa,0,0,0
2010,2010_20,Group A,2010-06-17,France,Mexico,Peter Mokaba Stadium,Polokwane,South Africa,0,0,0
2010,2010_21,Group D,2010-06-18,Germany,Serbia,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,0,0,0
2010,2010_22,Group C,2010-06-18,Slovenia,United States,Ellis Park Stadium,Johannesburg,South Africa,0,0,0
2010,2010_23,Group C,2010-06-18,England,Algeria,Cape Town Stadium,Cape Town,South Africa,0,0,0
2010,2010_24,Group E,2010-06-19,Netherlands,Japan,Moses Mabhida Stadium,Durban,South Africa,0,0,0
2010,2010_25,Group D,2010-06-19,Ghana,Australia,Royal Bafokeng Stadium,Rustenburg,South Africa,0,0,0
2010,2010_26,Group E,2010-06-19,Cameroon,Denmark,Loftus Versfeld Stadium,Pretoria,South Africa,0,0,0
2010,2010_27,Group F,2010-06-20,Slovakia,Paraguay,Free State Stadium,Bloemfontein,South Africa,0,0,0
2010,2010_28,Group F,2010-06-20,Italy,New Zealand,Mbombela Stadium,Nelspruit,South Africa,0,0,0
2010,2010_29,Group G,2010-06-20,Brazil,Ivory Coast,Soccer City,Johannesburg,South Africa,0,0,0
2010,2010_30,Group G,2010-06-21,Portugal,North Korea,Cape Town Stadium,Cape Town,South Africa,0,0,0
2010,2010_31,Group H,2010-06-21,Chile,Switzerland,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,0,0,0
2010,2010_32,Group H,2010-06-21,Spain,Honduras,Ellis Park Stadium,Johannesburg,South Africa,0,0,0
2010,2010_33,Group A,2010-06-22,Mexico,Uruguay,Royal Bafokeng Stadium,Rustenburg,South Africa,0,0,0
2010,2010_34,Group A,2010-06-22,France,South Africa,Free State Stadium,Bloemfontein,South Africa,0,0,0
2010,2010_35,Group B,2010-06-22,Nigeria,South Korea,Moses Mabhida Stadium,Durban,South Africa,0,0,0
2010,2010_36,Group B,2010-06-22,Greece,Argentina,Peter Mokaba Stadium,Polokwane,South Africa,0,0,0
2010,2010_37,Group C,2010-06-23,Slovenia,England,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,0,0,0
2010,2010_38,Group C,2010-06-23,United States,Algeria,Loftus Versfeld Stadium,Pretoria,South Africa,0,0,0
2010,2010_39,Group D,2010-06-23,Ghana,Germany,Soccer City,Johannesburg,South Africa,0,0,0
2010,2010_40,Group D,2010-06-23,Australia,Serbia,Mbombela Stadium,Nelspruit,South Africa,0,0,0
2010,2010_41,Group F,2010-06-24,Slovakia,Italy,Ellis Park Stadium,Johannesburg,South Africa,0,0,0
2010,2010_42,Group F,2010-06-24,Paraguay,New Zealand,Peter Mokaba Stadium,Polokwane,South Africa,0,0,0
2010,2010_43,Group E,2010-06-24,Denmark,Japan,Royal Bafokeng Stadium,Rustenburg,South Africa,0,0,0
2010,2010_44,Group E,2010-06-24,Cameroon,Netherlands,Cape Town Stadium,Cape Town,South Africa,0,0,0
2010,2010_45,Group G,2010-06-25,Portugal,Brazil,Moses Mabhida Stadium,Durban,South Africa,0,0,0
2010,2010_46,Group G,2010-06-25,North Korea,Ivory Coast,Mbombela Stadium,Nelspruit,South Africa,0,0,0
2010,2010_47,Group H,2010-06-25,Chile,Spain,Loftus Versfeld Stadium,Pretoria,South Africa,0,0,0
2010,2010_48,Group H,2010-06-25,Switzerland,Honduras,Free State Stadium,Bloemfontein,South Africa,0,0,0
2010,2010_49,Round of 16,2010-06-26,Uruguay,South Korea,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,0,0,0
2010,2010_50,Round of 16,2010-06-26,United States,Ghana,Royal Bafokeng Stadium,Rustenburg,South Africa,0,1,0
2010,2010_51,Round of 16,2010-06-27,Germany,England,Free State Stadium,Bloemfontein,South Africa,0,0,0
2010,2010_52,Round of 16,2010-06-27,Argentina,Mexico,Soccer City,Johannesburg,South Africa,0,0,0
2010,2010_53,Round of 16,2010-06-28,Netherlands,Slovakia,Moses Mabhida Stadium,Durban,South Africa,0,0,0
2010,2010_54,Round of 16,2010-06-28,Brazil,Chile,Ellis Park Stadium,Johannesburg,South Africa,0,0,0
2010,2010_55,Round of 16,2010-06-29,Paraguay,Japan,Loftus Versfeld Stadium,Pretoria,South Africa,0,1,1
2010,2010_56,Round of 16,2010-06-29,Spain,Portugal,Cape Town Stadium,Cape Town,South Africa,0,0,0
2010,2010_57,Quarter-final,2010-07-02,Netherlands,Brazil,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,0,0,0
2010,2010_58,Quarter-final,2010-07-02,Uruguay,Ghana,Soccer City,Johannesburg,South Africa,0,1,1
2010,2010_59,Quarter-final,2010-07-03,Argentina,Germany,Cape Town Stadium,Cape Town,South Africa,0,0,0
2010,2010_60,Quarter-final,2010-07-03,Paraguay,Spain,Ellis Park Stadium,Johannesburg,South Africa,0,0,0
2010,2010_61,Semi-final,2010-07-06,Uruguay,Netherlands,Cape Town Stadium,Cape Town,South Africa,0,0,0
2010,2010_62,Semi-final,2010-07-07,Germany,Spain,Moses Mabhida Stadium,Durban,South Africa,0,0,0
2010,2010_63,Third-place,2010-07-10,Uruguay,Germany,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,0,0,0
2010,2010_64,Final,2010-07-11,Netherlands,Spain,Soccer City,Johannesburg,South Africa,1,1,0
